street,number,zip,city,lat,lng
Burgemeester Huijbrechtstraat,144,2861DE,Bergambacht,51.93339001200277,4.780888667334405
Dominicushof,66,4001MG,Tiel,51.886575742614056,5.429824540079943
de Savornin Lohmanstraat,354,3752AT,Bunschoten-Spakenburg,52.25252573550159,5.3743728599881
Roskam,57,5505JH,Veldhoven,51.40754220857541,5.376927571749167
Willem de Zwijgerstraat,32,3905EP,Veenendaal,52.0313525411778,5.552680238613609
Kwarts,35,1703XA,Heerhugowaard,52.66378822223694,4.826682520724945
Kesselseweg,24,5953CL,Reuver,51.28168046678138,6.066846335695462
Kranestraat,73,5961GX,Horst,51.44714713854187,6.042681337449959
Federico Fellinistraat,16A,6515LV,Nijmegen,51.88645832591133,5.843868574931974
Poeldijkstraat,502,1059VM,Amsterdam,52.34987433176721,4.8436317404054
Gelrelaan,5,8302KH,Emmeloord,52.71798115874927,5.73754515557216
Fischerstraat,136,2572RE,'s-Gravenhage,52.06541461223132,4.2961255663918765
C. Barendregtlaan,9g,3161HA,Rhoon,51.85922691469278,4.42672696186851
Kardinaal van Rossumstraat,108,5104HN,Dongen,51.62383631598095,4.93601311219051
Dr. Struyckenplein,31,4812TA,Breda,51.57720647211365,4.756094400137463
Stadhuisring,19a,4791HS,Klundert,51.663829269398,4.532289306783919
Stadhuisplein,233,5461KR,Veghel,51.615580010226616,5.546384904198591
Holthuizerdreef,99a,6852JL,Huissen,51.94649849629327,5.925207524661986
Wethâlder Beerdastrjitte,4,9298PW,Kollumersweach,53.264451939902,6.076546461714169
Nijkamp,1N,9281NA,Harkema,53.18348916850145,6.134650952102716
Waarbekenplein,7,7553KK,Hengelo,52.25415549373776,6.798312950144943
Burgemeester Brandtstraat,6,2841XC,Moordrecht,51.98850069133234,4.669818352692625
Stokebrand,329,7206EW,Zutphen,52.1213526760311,6.1962877960968
Nij Toerenburg,2,9076MA,St.-Annaparochie,53.27683537341128,5.66836415129217
Wethouder De Roosplein,132,1107AH,Amsterdam,52.295601696259645,4.9909798933137255
Zuil,75,6641MB,Beuningen Gld,51.862215031446205,5.760346423423769
Gladiusstraat,5,6852SB,Huissen,51.94180186447928,5.920919654192187
Muntstraat,8,6121JL,Born,51.03376489020555,5.806593437675481
Bloemveldlaan,37,2015HB,Haarlem,52.3836870819702,4.601883015499749
Omanstraat,62,2622GZ,Delft,51.97872126606678,4.345361814058914
Inzet,19,1068RC,Amsterdam,52.355539598219536,4.803848423674472
Valeriaanstraat,8,3765EP,Soest,52.16856683791471,5.293100347102837
Boslaan,42,3904KJ,Veenendaal,52.01204331438769,5.54979138049822
Kalverstraat,817,7311SJ,Apeldoorn,52.21164637973898,5.967165572838736
Dahliastraat,6,6026CG,Maarheeze,51.30896852143006,5.612537860367237
Weidestraat,22,5241CB,Rosmalen,51.71231881385106,5.356602926766092
Tasveld,31,6651SN,Druten,51.88635600975641,5.624752993925161
Marijke Meuhof,21,3401RW,IJsselstein,52.015690771512574,5.049583790789533
Lavendelstraat,10,7383XK,Voorst,52.17113794977743,6.13969086094622
Irenelaan,15,5342EK,Oss,51.75774294776674,5.534033917793711
Breestraat,64,2311CS,Leiden,52.15931010276743,4.4890456869324025
Markt,28a,4758BM,Standdaarbuiten,51.61135408128533,4.514403680322883
Droopad,1a,6921BX,Duiven,51.94698607240414,6.023070680795849
Willem van Kesselstraat,58,4827LK,Breda,51.60655302077583,4.795439655983127
Eliotplaats,436,,Rotterdam,51.96046635655813,4.549591700167439
Duindoorn,13,4493RN,Kamperland,51.59458707826498,3.672340499619272
Lavendelstraat,25,5402ZL,Uden,51.66328730239246,5.6242327422636365
Pastorielaan,16,9785AW,Zuidwolde,53.26174269989793,6.59168958472636
Clausstraat,9,5121XN,Rijen,51.59099623887551,4.923210354861795
Hendrik Hamerstraat,245A,3295CK,'s-Gravendeel,51.77728906377595,4.611991678140711
Tarwestraat,19,5351MK,Berghem,51.766699297059816,5.57744899150489
Golsstraat,21,7553MA,Hengelo,52.259148468591775,6.799173019610995
Rondweg,62A,8091XK,Wezep,52.471215267603085,5.996999263192112
Nijhofflaan,95,3319BP,Dordrecht,51.798121738623706,4.698752524882794
Veerweg,32,8262BJ,Kampen,52.56416911164279,5.909746145514314
Galgenbergweg,9RDEN1,6741KJ,Lunteren,52.08081411921006,5.644514386404299
Stoep,29,,Brielle,51.89372943447293,4.168710955177688
